,id,segment_id,label_topic,aspect,opinion,sentiment
669,36,1,6,-,-,-
670,36,2,2,grill,absolutely huge,pos
671,36,2,2,grill,distinctive,pos
672,36,2,2,grill,like bugs bonus teeth,pos
673,36,2,2,grill,massive,pos
674,36,3,9,-,-,-
675,36,4,2,front,looks very agressive,neu
676,36,5,9,laser lights,cool blue,pos
677,36,6,2,-,-,-
678,36,7,9,design,new,pos
679,36,8,2,backend,slab,neu
680,36,8,2,backend,rather large,neu
681,36,9,9,boot,all electric,pos
682,36,9,9,boot shape,nice big square,pos
683,36,9,9,car,run on flats,pos
684,36,9,9,lowering backseats,very easy to do,pos
685,36,10,2,-,-,-
686,36,11,6,-,-,-
687,36,12,2,interior,more luxury on technology,pos
688,36,13,7,price,bumped up a bit,neg
689,36,14,2,price,worth the money,pos
690,36,14,2,Quality,absolutely brilliant,pos
691,36,14,2,materials,soft touch,pos
692,36,14,2,materials,softest,pos
693,36,14,2,materials,feels great,pos
694,36,14,2,materials,really sturdy,pos
695,36,14,2,controls,easily laid out,pos
696,36,14,2,ventillation controls,metallic,pos
697,36,14,2,controls,nice,pos
698,36,14,2,Trim,little bit confusing,neg
699,36,14,2,Trim,not so keen,neg
700,36,14,2,Trim,not ideal,neg
701,36,14,2,crystal knob,not a fan,neg
702,36,14,2,crystal knob,naff,neg
703,36,15,3,S8,lovely,pos
704,36,15,3,leather,two  tone,pos
705,36,15,3,leather,looks really really good,pos
706,36,16,8,I drive seven,better than ever,pos
707,36,16,8,I drive seven,absolutely fabulous,pos
708,36,16,8,I drive seven,dead easy to control,pos
709,36,16,8,I drive seven,little bit temperemental,neg
710,36,16,8,graphics card,easier,pos
711,36,16,8,map,lovely,pos
712,36,16,8,graphics,sharp,pos
713,36,16,8,graphics,high definition,pos
714,36,16,8,digital drivers display,not quite good,neg
715,36,16,8,satnav,not full wide screen,neg
716,36,16,8,rev counter,odd,neg
717,36,16,8,infotainment system,like,pos
718,36,16,8,reversing camera,so good,pos
719,36,16,8,gesture commands,hard to control,neg
720,36,17,4,suspension,unique,pos
721,36,17,4,suspension,little bit firmer than other,neu
722,36,17,4,comfort mode,very very comfortable,pos
723,36,17,4,bumps,hardly feel,pos
724,36,17,4,comfort mode,doesn't jump around too much,pos
725,36,17,4,sport mode,very very good,pos
726,36,17,4,sport mode,feels really sporting agile,pos
727,36,17,4,corner handling,strong,pos
728,36,17,4,corner handling,sturdy,pos
729,36,17,4,Taxi drive,great,pos
730,36,17,4,steering,highlight,pos
731,36,17,4,steering,feels connected to front wheels,pos
732,36,17,4,change mode controls,inconvenient,neg
733,36,18,0,engine,pretty quick for diesel S60 lot,pos
734,36,18,0,engine,very quick,pos
735,36,18,0,pickup,relentless,pos
736,36,18,0,engine,makes good noise,neg
737,36,19,0,noise,fake,neu
738,36,19,0,gearbox,really good,pos
739,36,19,0,gearbox,improved on perfection,pos
740,36,19,0,gearbox,well done,pos
741,36,19,0,car,mordern,pos
742,36,19,0,changing gearsusing paddles,sharp,pos
743,36,20,5,auto-breaking,safe,pos
744,36,20,5,stop,safe,pos
745,36,20,5,stop,steady,pos
746,36,21,3,rear,absolutely loads of room,pos
747,36,21,3,footroom,loads of space for legs,pos
748,36,21,3,headroom,loads . looking up absolutely loads,pos
749,36,21,3,rear,really spacious,pos
750,36,21,3,window lead,big,pos
751,36,21,3,backseats,super comfy,pos
752,36,22,1,pockets in backseat,tough really strong,pos
753,36,22,1,BC imports,nice,pos
754,36,22,1,BC imports,mordern,pos
755,36,23,3,seats,quite reclined,pos
756,36,23,3,backseat,super quiet,pos
757,36,23,3,backseat,really really very comfortable,pos
758,36,24,6,-,-,-
759,36,25,0,-,-,-
760,36,26,4,air suspension,more comfortable over bumps,pos
761,36,26,4,offroad height raise,right,pos
762,36,27,6,-,-,-
763,36,28,4,offroad pack,special,pos
764,36,29,6,-,-,-
765,36,30,0,engine,nice,pos
766,36,30,0,engine,responsive,pos
767,36,30,0,engine,agile,pos
768,36,30,0,engine,silky,pos
769,36,30,0,engine,smooth,pos
770,36,31,6,BMW X5,really impressed,pos
771,36,31,6,drive,very well,pos
772,36,32,3,BMW X5,comfortable,pos
773,36,33,2,BMW X5,quiet,pos
774,36,33,2,BMW X5,luxurious,pos
775,36,33,2,BMW X5,practical,pos
776,36,34,1,BMW X5,packed full of technology,pos
777,36,35,6,SUV,excellent,pos
778,36,35,6,SUV,luxury,pos
